quarter,money_drechsel,money_aruobadrechsel,money_bauerswanson,money_boehmkroner,money_bundickhs_level,money_bundickhs_slope,money_burogerswu,money_gertlerkaradi,money_jarocinski_FFR,money_jarocinski_FG,money_jarocinski_Info,money_jarocinski_LSAP,money_jarocinskikaradi_cbi,money_jarocinskikaradi_mp,money_mirandaagrippinoricco,money_romerromer,money_swanson_FFR,money_swanson_FG,money_swanson_LSAP,govs_benzeevpappa,govs_fieldhousemertens24_def,govs_fieldhousemertens24_nondef,govs_fisherpeters,govs_ramey_news,govs_fieldhousemertens21,govs_romer16_ssperm,govs_romer16_sstemp,oil_killian,oil_baumeisterhamilton19_dcons,oil_baumeisterhamilton19_dinv,oil_baumeisterhamilton19_supply,oil_kanzig21,other_chahrourjurado22,other_adamsbarrett24,other_kimmatthesphan24,other_pifferpodstawski18,tax_leeperetal,tax_liebetal,tax_mertensrav_news,tax_mertensrav_surp,tax_phillot_02y,tax_phillot_05y,tax_phillot_10y,tax_phillot_30y,tech_barskysims,tech_benzeevkhan_ist,tech_benzeevkhan_ist_news,tech_benzeevkhan_tfp,tech_fernald,tech_mahhb
1948q3,-.916645917032771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.441642767231887,.0118645117985905,-.03283487269131,.14043,0,0,0,0,0,0,0,0,0,-1.034148573875427,0,0,0,0,0,0,1.825483753,0,0,0,0,0,0,0,0,1.371633297712935,0
1948q4,-.9226561955363199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.31488438416879,0,0,.009237,0,0,0,0,0,0,0,0,0,.1416986882686615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.904621103884553,0
1949q1,.960730120965781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.426248869318294,0,0,.118712,0,0,0,0,0,0,0,0,0,1.487595558166504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.854436848200697,0
1949q2,-.484792779398182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.194184086160046,0,0,-.005761,0,0,0,0,0,0,0,0,0,2.437703371047974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.203863506278017,0
1949q3,-.461778187643793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.473580984147624,.0069570211529597,.022988458846195,.00895,0,0,0,0,0,0,0,0,0,-1.294458031654358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.637162614625064,0
1949q4,-.632790668784129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.807013727480091,.0086566131892495,0,.072726,-2,0,0,0,0,0,0,0,0,-1.138202309608459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1268892010848064,0
1950q1,-.537746761945466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.860548947423233,0,0,.108745,0,0,0,0,0,0,0,0,0,.9366472959518433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.246773161546157,0
1950q2,1.01823306982066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.474982265702066,0,0,.207723,7.7,0,0,0,0,0,0,0,0,-2.046532392501831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.4849665590096279,0
1950q3,.341144090734552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.80113379822374,.0857428813341575,-.0026519711876385,.160016,179.4,0,0,0,0,0,0,0,0,2.61224627494812,0,0,0,0,0,.35,0,0,0,0,0,0,0,0,0,-.0150153999356597,0
1950q4,.530370528593565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.38746858339804,0,0,.359065,124,0,0,0,0,0,0,0,0,-3.497263431549072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.7390125698879357,0
